time	x	y	z
1500453747.505371	857225.55151	5544280.2337	-1087624.29584
1500453748.505371	859994.078787	5532050.74156	-1097355.6779
1500453749.505371	864263.083858	5529921.24549	-1094779.37517
1500453750.505371	887108.355891	5534462.95569	-1115339.84195
1500453751.505371	886436.322307	5535066.28112	-1113528.18668
1500453752.505371	890549.441868	5544303.36904	-1114063.16049
1500453753.505371	889160.951047	5535237.7506	-1116882.74425
1500453754.505371	899967.7535	5540441.83677	-1139147.11684
1500453755.505371	908139.965561	5536283.72206	-1145232.2867
1500453756.505371	911535.611465	5540835.18074	-1140257.6103
1500453757.505371	931696.651526	5538844.29442	-1152783.91765
1500453758.505371	938031.533125	5541636.20941	-1168116.93485
1500453759.505371	933121.647016	5540294.70711	-1161113.67906
1500453760.505371	936459.221962	5552538.34608	-1165502.57864
1500453761.505371	947041.440895	5546470.26288	-1181981.46268
1500453762.505371	954071.929064	5548384.53438	-1195019.47404
1500453763.505371	958476.229008	5546421.07251	-1183359.79072
1500453764.505371	958772.3071	5549726.15992	-1195277.24135
1500453765.505371	973840.566713	5544376.22806	-1210091.77255
1500453766.505371	974042.22044	5554342.55078	-1221425.81778
1500453767.505371	987762.881602	5552745.92146	-1221065.95182
1500453768.505371	983519.600983	5536301.2113	-1230437.373
1500453769.505371	997832.236041	5535153.99939	-1243344.49195
1500453770.505371	1003029.28747	5550707.83582	-1247354.92104
1500453771.505371	1017254.28032	5543155.77946	-1241262.3693
1500453772.505371	1020819.95984	5555544.48912	-1259222.86188
1500453773.505371	1024126.42967	5554738.9591	-1250174.04933
1500453774.505371	1035982.00361	5543895.95374	-1262471.94101
1500453775.505371	1037306.11239	5554347.08951	-1273907.59702
1500453776.505371	1037714.76087	5536515.64119	-1270906.37605
1500453777.505371	1037659.14299	5538261.07295	-1277208.14388
1500453778.505371	1054702.43054	5549256.74701	-1292727.83238
1500453779.505371	1065130.70433	5546200.01437	-1297196.10987
1500453780.505371	1073007.44515	5545701.05159	-1308978.95161
1500453781.505371	1061355.74864	5553443.34994	-1318820.43582
1500453782.505371	1083763.3371	5537684.44686	-1310770.95581
1500453783.505371	1084445.79553	5548568.74516	-1328186.96756
1500453784.505371	1089934.10337	5539043.35436	-1325705.6389
1500453785.505371	1091733.2077	5553229.44033	-1342076.68413
1500453786.505371	1104508.26928	5539245.53227	-1343213.47394
1500453787.505371	1108909.09053	5537556.90726	-1356380.54518
1500453788.505371	1111741.01275	5553569.98668	-1362592.53767
1500453789.505371	1108145.79596	5542390.35644	-1365566.57934
1500453790.505371	1115442.35324	5537503.91292	-1367344.19369
1500453791.505371	1134301.64628	5549342.69802	-1372292.50671
1500453792.505371	1135542.18395	5538161.06222	-1394464.01903
1500453793.505371	1133178.99663	5547158.69637	-1397654.9111
1500453794.505371	1147098.81194	5540520.5417	-1408131.10581
1500453795.505371	1158615.84131	5539671.99702	-1398146.2725
1500453796.505371	1153307.1022	5544096.6574	-1415254.8638
1500453797.505371	1157237.70731	5549187.20316	-1427655.7701
1500453798.505371	1181288.65574	5544867.85494	-1419895.25684
1500453799.505371	1178115.05897	5539519.6908	-1428137.39054
1500453800.505371	1184486.11834	5536796.89272	-1439784.5103
1500453801.505371	1196839.84874	5544895.90724	-1447789.53723
1500453802.505371	1195295.21072	5540244.91185	-1455179.80538
1500453803.505371	1197922.63477	5553461.87944	-1454218.51712
1500453804.505371	1216167.41141	5551026.70031	-1459542.20547
1500453805.505371	1219611.78717	5536576.47533	-1480054.47611
1500453806.505371	1227242.66601	5535003.67279	-1474324.87585
1500453807.505371	1216717.72391	5553268.4061	-1489798.44812
1500453808.505371	1237144.15109	5551180.24916	-1492853.43829
1500453809.505371	1233959.50641	5541132.88112	-1507320.07418
1500453810.505371	1238244.75416	5534570.81463	-1496790.02247
1500453811.505371	1246168.25206	5550476.97488	-1519577.51651
1500453812.505371	1266551.28285	5539063.32092	-1509709.71474
1500453813.505371	1263852.62438	5553005.96889	-1523767.54874
1500453814.505371	1262773.72337	5537289.4605	-1528857.53676
1500453815.505371	1268542.1414	5551176.68681	-1537833.49847
1500453816.505371	1289042.89651	5540135.30214	-1540610.47997
1500453817.505371	1287530.71818	5532713.53764	-1544571.77561
1500453818.505371	1286432.65291	5533294.90691	-1561909.96017
1500453819.505371	1289713.30898	5532309.86522	-1569172.21883
1500453820.505371	1305464.97701	5545526.42931	-1579436.879
1500453821.505371	1311220.54001	5536686.19262	-1586887.93943
1500453822.505371	1314867.56142	5546530.32494	-1589401.11799
1500453823.505371	1324270.25437	5549232.26099	-1583158.79005
1500453824.505371	1328822.6886	5547197.86477	-1595928.01876
1500453825.505371	1329188.65485	5531781.21073	-1599227.5571
1500453826.505371	1349942.15331	5531605.49416	-1614852.85188
1500453827.505371	1348891.27433	5529031.51348	-1615124.59451
1500453828.505371	1354135.93464	5545984.65661	-1622118.56459
1500453829.505371	1362934.24835	5535607.39583	-1637848.54593
1500453830.505371	1368974.25414	5532209.34061	-1639957.0402
1500453831.505371	1365562.74823	5539784.67971	-1642404.24465
1500453832.505371	1371595.15831	5538146.80238	-1656139.49495
1500453833.505371	1384426.09144	5533315.25739	-1650882.63687
1500453834.505371	1381364.34324	5538700.96678	-1656439.76188
1500453835.505371	1386964.47385	5541169.32348	-1673012.65366
1500453836.505371	1395155.13218	5524060.55587	-1683522.5052
1500453837.505371	1406655.39675	5542987.27939	-1691787.89969
1500453838.505371	1412019.11032	5535761.45681	-1688143.40731
1500453839.505371	1418457.24722	5541517.09245	-1702054.05915
1500453840.505371	1430370.47833	5534846.15038	-1705503.95494
1500453841.505371	1434491.83197	5526603.12176	-1698877.78586
1500453842.505371	1429392.08264	5539623.48971	-1717200.34257
1500453843.505371	1446079.94181	5530343.04092	-1714932.35321
1500453844.505371	1443755.05713	5527671.94012	-1731926.44826
1500453845.505371	1447322.26707	5521874.78503	-1725791.21447
1500453846.505371	1468110.29266	5533885.28267	-1732629.79677
1500453847.505371	1475440.37071	5522143.57219	-1753419.12018
1500453848.505371	1478046.6165	5523601.69227	-1761084.1855
1500453849.505371	1475841.35985	5531564.82781	-1761866.85901
1500453850.505371	1490062.4626	5525211.27926	-1760613.83198
1500453851.505371	1483713.09945	5525299.24457	-1765074.04373
1500453852.505371	1504949.63273	5519222.73541	-1788552.43169
1500453853.505371	1501020.69337	5529673.0474	-1784664.61743
1500453854.505371	1497513.82266	5517556.77793	-1785672.28137
1500453855.505371	1521349.33573	5520750.78184	-1788932.93837
1500453856.505371	1524152.98421	5529125.57648	-1797373.55044
1500453857.505371	1522794.96442	5524695.5463	-1804836.41886
1500453858.505371	1521830.52055	5515039.77717	-1823627.61657
1500453859.505371	1531754.76954	5517741.15046	-1827391.06744
1500453860.505371	1534666.06787	5509234.62777	-1835300.45467
1500453861.505371	1539590.29129	5522712.65613	-1830602.5992
1500453862.505371	1553662.55035	5510500.27758	-1844401.59552
1500453863.505371	1567222.97633	5523603.59383	-1846843.80839
1500453864.505371	1558809.15592	5515476.20894	-1850683.05415
1500453865.505371	1581277.7975	5508135.18563	-1869332.3274
1500453866.505371	1575993.37105	5518069.00842	-1862304.10403
1500453867.505371	1589625.59811	5505584.02278	-1868125.80562
1500453868.505371	1587623.26678	5505223.28246	-1874073.25702
1500453869.505371	1603714.56669	5502171.6636	-1887172.69385
1500453870.505371	1607249.95969	5507120.1567	-1886840.33439
1500453871.505371	1606679.55473	5503176.25653	-1896868.77723
1500453872.505371	1615451.20509	5516912.94943	-1914142.37077
1500453873.505371	1626253.86098	5511924.38448	-1907698.89711
1500453874.505371	1621475.34246	5514862.07572	-1920249.32106
1500453875.505371	1621356.79969	5508995.75142	-1925472.4632
1500453876.505371	1642564.57752	5503602.41097	-1938216.98709
1500453877.505371	1647217.17986	5508410.09239	-1937260.32851
1500453878.505371	1639013.54586	5509879.57452	-1949594.77214
1500453879.505371	1657604.39131	5508269.16925	-1959390.13195
1500453880.505371	1669452.58016	5501677.61322	-1952819.53368
1500453881.505371	1673821.01551	5492192.48024	-1967331.31017
1500453882.505371	1674847.59219	5503068.12962	-1979864.54023
1500453883.505371	1674190.2007	5487672.05944	-1975414.42239
1500453884.505371	1673087.91409	5487859.82476	-1990699.09686
